Wavelength [nm],Background nominal [44 yrs],Modulation nominal [25% 44 yrs],Modulation nominal [50% 44 yrs],Modulation nominal [100% 44 yrs],Modulation nominal [200% 44 yrs],Modulation nominal [400% 44 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
380,9.873e-06,9.8476e-06,9.8222e-06,9.7715e-06,9.67e-06,9.467e-06,1.6251e-05,1.8746e-05,1.6583e-05,1.9901e-05,1.7816e-05,2.0872e-05
382,8.508e-06,8.5732e-06,8.6384e-06,8.7687e-06,9.0295e-06,9.5509e-06,1.6072e-05,1.9032e-05,1.4293e-05,1.8421e-05,1.6686e-05,2.1967e-05
384,9.3459e-06,9.6427e-06,9.9396e-06,1.0533e-05,1.1721e-05,1.4095e-05,1.7843e-05,1.9061e-05,1.4752e-05,1.6878e-05,1.5682e-05,2.1429e-05
386,1.0982e-05,1.1148e-05,1.1315e-05,1.1647e-05,1.2312e-05,1.3642e-05,1.8259e-05,1.6377e-05,1.3939e-05,1.6959e-05,1.5907e-05,2.1658e-05
388,1.3915e-05,1.3823e-05,1.3732e-05,1.3549e-05,1.3182e-05,1.2449e-05,1.7101e-05,1.6695e-05,1.3361e-05,1.5665e-05,1.667e-05,2.1075e-05
390,1.3136e-05,1.309e-05,1.3044e-05,1.2952e-05,1.2769e-05,1.2401e-05,1.611e-05,1.534e-05,1.4235e-05,1.5616e-05,1.5552e-05,2.2046e-05
392,1.2125e-05,1.226e-05,1.2395e-05,1.2665e-05,1.3206e-05,1.4287e-05,1.7249e-05,1.4316e-05,1.3719e-05,1.6233e-05,1.5097e-05,2.2768e-05
394,1.2655e-05,1.2464e-05,1.2273e-05,1.1891e-05,1.1127e-05,9.5988e-06,1.5589e-05,1.3115e-05,1.4912e-05,1.6431e-05,1.499e-05,1.9925e-05
396,8.39e-06,8.545e-06,8.6999e-06,9.0099e-06,9.6297e-06,1.0869e-05,1.5118e-05,1.3907e-05,1.3038e-05,1.5805e-05,1.5808e-05,2.0038e-05
398,1.0706e-05,1.0898e-05,1.109e-05,1.1475e-05,1.2244e-05,1.3781e-05,1.5928e-05,1.2358e-05,1.3095e-05,1.7204e-05,1.5002e-05,2.0295e-05
400,1.0818e-05,1.1019e-05,1.1219e-05,1.162e-05,1.2422e-05,1.4025e-05,1.7188e-05,1.2328e-05,1.4168e-05,1.6001e-05,1.5405e-05,1.9884e-05
402,1.1577e-05,1.1665e-05,1.1752e-05,1.1926e-05,1.2275e-05,1.2972e-05,1.8105e-05,1.2651e-05,1.4843e-05,1.7144e-05,1.5829e-05,1.8957e-05
404,1.1567e-05,1.1773e-05,1.1979e-05,1.2392e-05,1.3217e-05,1.4867e-05,1.8294e-05,1.3631e-05,1.5333e-05,1.755e-05,1.6404e-05,1.8449e-05
406,1.5443e-05,1.5531e-05,1.5619e-05,1.5794e-05,1.6144e-05,1.6845e-05,2.1373e-05,1.7394e-05,1.778e-05,1.965e-05,1.7346e-05,1.9592e-05
408,2.3906e-05,2.3825e-05,2.3745e-05,2.3584e-05,2.3261e-05,2.2616e-05,2.6778e-05,2.3605e-05,2.2596e-05,2.4028e-05,2.0886e-05,2.0614e-05
410,4.467e-05,4.388e-05,4.309e-05,4.151e-05,3.835e-05,3.2029e-05,4.3022e-05,3.978e-05,3.8034e-05,3.9358e-05,3.2732e-05,2.8118e-05
412,9.6845e-05,9.3985e-05,9.1124e-05,8.5404e-05,7.3963e-05,5.1082e-05,8.3984e-05,7.8466e-05,7.5352e-05,7.396e-05,6.139e-05,4.4502e-05
414,0.0001739,0.00016806,0.00016221,0.00015053,0.00012715,8.0397e-05,0.00015328,0.00014395,0.00013911,0.0001301,0.00010916,7.009e-05
416,0.0002803,0.00027007,0.00025984,0.00023939,0.00019847,0.00011664,0.00025344,0.00023986,0.00023012,0.0002122,0.00017424,0.00010586
418,0.00042375,0.0004073,0.00039085,0.00035794,0.00029213,0.0001605,0.00039216,0.00037254,0.0003554,0.00032364,0.00026198,0.00014799
420,0.0005968,0.00057243,0.00054806,0.00049932,0.00040184,0.00020688,0.00055954,0.00052982,0.0005057,0.00045812,0.00036538,0.00019299
422,0.00077309,0.00074032,0.00070756,0.00064202,0.00051094,0.00024878,0.00072826,0.00069086,0.00065832,0.00059544,0.00046924,0.00023518
424,0.00092612,0.00088583,0.00084554,0.00076495,0.00060378,0.00028144,0.00087662,0.00083312,0.00079432,0.0007182,0.0005621,0.00027084
426,0.0010338,0.00098776,0.00094172,0.00084965,0.0006655,0.00029722,0.0009844,0.0009369,0.00089336,0.0008067,0.000629,0.00029486
428,0.001066,0.0010177,0.00096941,0.00087284,0.00067969,0.00029341,0.0010213,0.0009731,0.00092752,0.00083668,0.0006484,0.0002921
430,0.0010212,0.00097376,0.00092632,0.00083143,0.00064166,0.00026212,0.00098454,0.00093724,0.00089394,0.00080488,0.0006189,0.0002644
432,0.00091639,0.00087251,0.00082863,0.00074088,0.00056536,0.00021433,0.00087832,0.0008376,0.0007982,0.00071832,0.00054802,0.00021912
434,0.00077992,0.00074182,0.00070372,0.00062751,0.00047509,0.00017026,0.0007257,0.00069268,0.00066016,0.0005945,0.00045134,0.00017135
436,0.00060977,0.0005799,0.00055002,0.00049027,0.00037077,0.00013176,0.00054424,0.0005208,0.00049754,0.00044946,0.00034162,0.00012863
438,0.0004132,0.00039333,0.00037345,0.0003337,0.0002542,9.5201e-05,0.00036144,0.00034764,0.0003334,0.0003023,0.00023216,9.3792e-05
440,0.00023763,0.00022705,0.00021646,0.00019528,0.00015293,6.8223e-05,0.00020869,0.00020303,0.00019615,0.00017896,0.00014143,6.5612e-05
442,0.000135,0.00013007,0.00012514,0.00011528,9.5565e-05,5.6129e-05,0.00012583,0.00012321,0.00011981,0.0001112,9.0944e-05,5.298e-05
444,0.00010537,0.00010201,9.8647e-05,9.1921e-05,7.8469e-05,5.1564e-05,0.00010439,0.00010331,0.00010086,9.367e-05,7.921e-05,5.1962e-05
